material_label,paper_category,wavelength_um,emissivity,reflectivity,source_file
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.2896,0.90269,0.09731,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.2218,0.90466,0.09534,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.1546,0.89979,0.10021,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.0882,0.9083,0.0917,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.0224,0.90583,0.09417,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.9573,0.90524,0.09476,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.8929,0.90655,0.09345,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.829,0.90764,0.09236,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.7658,0.90607,0.09393,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.7033,0.90536,0.09464,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.6413,0.90901,0.09099,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.5799,0.90617,0.09383,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.5192,0.9105,0.0895,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.459,0.91286,0.08714,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.3994,0.91278,0.08722,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.3403,0.91482,0.08518,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.2818,0.91421,0.08579,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.2239,0.91654,0.08346,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.1665,0.91639,0.08361,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.1097,0.91743,0.08257,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,12.0533,0.91951,0.08049,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.9975,0.91967,0.08033,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.9422,0.9249,0.0751,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.8875,0.92468,0.07532,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.8332,0.92763,0.07237,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.7794,0.92885,0.07115,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.7261,0.93316,0.06684,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.6733,0.93383,0.06617,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.6209,0.93672,0.06328,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.569,0.93789,0.06211,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.5176,0.93999,0.06001,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.4667,0.94274,0.05726,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.4161,0.9425,0.0575,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.3661,0.94568,0.05432,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.3164,0.94941,0.05059,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.2672,0.95242,0.04758,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.2185,0.953,0.047,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.1701,0.9584,0.0416,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.1222,0.95893,0.04107,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.0746,0.96043,0.03957,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,11.0275,0.96213,0.03787,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.9808,0.96467,0.03533,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.9345,0.96813,0.03187,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.8885,0.9707,0.0293,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.8429,0.97448,0.02552,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.7978,0.97674,0.02326,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.753,0.9802,0.0198,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.7085,0.98175,0.01825,alumgrte.prn
